plot_ID,subplot_ID,spe_rich
ENV01_1,NA,26
ENV01_2,NA,33
ENV02_1,NA,41
ENV03_1,NA,32
ENV03_2,NA,34
ENV04_1,NA,48
ENV04_2,NA,72
ENV05_1,NA,31
ENV05_2,NA,36
ENV06_1,NA,48
ENV06_2,NA,36
ENV07_1,NA,48
ENV07_2,NA,41
ENV08_1,NA,37
ENV08_2,NA,42
ENV08_3,NA,38
ENV09_1,NA,25
ENV10_1,NA,24
ENV10_2,NA,27
ENV11_1,NA,38
ENV11_2,NA,37
ENV12_1,NA,43
ENV12_2,NA,42
ENV12_3,NA,48
ENV13_1,NA,45
ENV13_2,NA,33
ENV14_1,NA,36
ENV14_2,NA,44
ENV14_3,NA,59
ENV15_1,NA,42
ENV15_2,NA,39
ENV15_3,NA,42
ENV16_1,NA,33
ENV16_2,NA,32
ENV16_3,NA,35
ENV17_1,NA,42
ENV17_2,NA,34
ENV18_1,NA,38
ENV18_2,NA,38
ENV19_1,NA,32
ENV19_2,NA,36
ENV20_1,ENV20_1A,40
ENV20_1,ENV20_1B,45
ENV20_2,ENV20_2A,36
ENV20_2,ENV20_2B,38
ENV21_1,ENV21_1A,31
ENV21_1,ENV21_1B,39
ENV22_1,ENV22_1A,24
ENV22_1,ENV22_1B,28
ENV22_2,ENV22_2A,34
ENV22_2,ENV22_2B,37
ENV23_1,ENV23_1A,33
ENV23_1,ENV23_1B,36
ENV23_2,ENV23_2A,39
ENV23_2,ENV23_2B,43
ENV25_1,ENV25_1A,34
ENV25_1,ENV25_1B,39
ENV25_2,ENV25_2A,35
ENV25_2,ENV25_2B,41
ENV26_1,ENV26_1A,29
ENV26_1,ENV26_1B,32
ENV27_1,ENV27_1A,27
ENV27_1,ENV27_1B,32
ENV27_2,ENV27_2A,18
ENV27_2,ENV27_2B,25
ENV28_1,ENV28_1A,39
ENV28_1,ENV28_1B,48
ENV28_2,ENV28_2A,43
ENV28_2,ENV28_2B,55
ENV29_1,ENV29_1A,13
ENV29_1,ENV29_1B,21
ENV29_2,ENV29_2A,18
ENV29_2,ENV29_2B,23
ENV30_1,ENV30_1A,30
ENV30_1,ENV30_1B,36
ENV30_2,ENV30_2A,33
ENV30_2,ENV30_2B,37
ENV31_1,ENV31_1A,48
ENV31_1,ENV31_1B,58
ENV32_1,ENV32_1A,53
ENV32_1,ENV32_1B,66
ENV32_2,ENV32_2A,26
ENV32_2,ENV32_2B,37
ENV34_1,ENV34_1A,51
ENV34_1,ENV34_1B,64
ENV34_2,ENV34_2A,33
ENV34_2,ENV34_2B,45
ENV35_1,ENV35_1A,34
ENV35_1,ENV35_1B,40
ENV35_2,ENV35_2A,45
ENV35_2,ENV35_2B,56
ENV36_1,ENV36_1A,33
ENV36_1,ENV36_1B,42
ENV36_2,ENV36_2A,50
ENV36_2,ENV36_2B,65
ENV37_1,ENV37_1A,40
ENV37_1,ENV37_1B,50
ENV37_2,ENV37_2A,50
ENV37_2,ENV37_2B,57
ENV38_1,ENV38_1A,21
ENV38_1,ENV38_1B,28
ENV38_2,ENV38_2A,62
ENV38_2,ENV38_2B,79
ENV39_1,ENV39_1A,25
ENV39_1,ENV39_1B,40
ENV39_2,ENV39_2A,44
ENV39_2,ENV39_2B,58
ENV40_1,ENV40_1A,47
ENV40_1,ENV40_1B,59
ENV41_1,ENV41_1A,19
ENV41_1,ENV41_1B,27
ENV42_1,ENV42_1A,29
ENV42_1,ENV42_1B,37
ENV42_2,ENV42_2A,52
ENV42_2,ENV42_2B,63
ENV43_1,ENV43_1A,36
ENV43_1,ENV43_1B,49
ENV44_1,ENV44_1A,39
ENV44_1,ENV44_1B,48
ENV44_2,ENV44_2A,28
ENV44_2,ENV44_2B,40
ENV45_1,ENV45_1A,42
ENV45_1,ENV45_1B,51
ENV45_2,ENV45_2A,32
ENV45_2,ENV45_2B,41
ENV46_1,ENV46_1A,46
ENV46_1,ENV46_1B,58
ENV46_2,ENV46_2A,42
ENV46_2,ENV46_2B,54
ENV47_1,ENV47_1A,34
ENV47_1,ENV47_1B,40
ENV47_2,ENV47_2A,42
ENV47_2,ENV47_2B,50
ENV48_1,ENV48_1A,48
ENV48_1,ENV48_1B,54
ENV48_2,ENV48_2A,48
ENV48_2,ENV48_2B,57
ENV49_1,ENV49_1A,48
ENV49_1,ENV49_1B,58
ENV49_2,ENV49_2A,30
ENV49_2,ENV49_2B,40
ENV50_1,ENV50_1A,39
ENV50_1,ENV50_1B,49
ENV50_2,ENV50_2A,32
ENV50_2,ENV50_2B,43
ENV51_1,ENV51_1A,36
ENV51_1,ENV51_1B,42
ENV51_2,ENV51_2A,48
ENV51_2,ENV51_2B,56
ENV52_1,ENV52_1A,40
ENV52_1,ENV52_1B,51
ENV52_2,ENV52_2A,53
ENV52_2,ENV52_2B,62
ENV53_1,ENV53_1A,42
ENV53_1,ENV53_1B,50
ENV71_1,NA,64
ENV71_2,NA,61
MKDP1,NA,18
MKDP10,NA,23
MKDP11,NA,29
MKDP12,NA,33
MKDP13,NA,31
MKDP14,NA,19
MKDP15,NA,27
MKDP16,NA,17
MKDP17,NA,39
MKDP18,NA,20
MKDP19,NA,10
MKDP2,NA,11
MKDP20,NA,33
MKDP21,NA,27
MKDP22,NA,39
MKDP23,NA,34
MKDP24,NA,34
MKDP25,NA,19
MKDP3,NA,23
MKDP4,NA,22
MKDP5,NA,42
MKDP6,NA,39
MKDP7,NA,30
MKDP8,NA,38
MKDP9,NA,36
